year publish,year retract,authors,title,journal
,,,,
2006,2018,"['Brian Wansink', 'Pierre Chandon']","Meal Size, Not Body Size, Explains Errors in Estimating the Calorie Content of Meals",Annals of Internal Medicine
,,,,
2008,2018,"['Brian Wansink', 'Collin Payne', 'Carolina Werle']",Consequences of Belonging to the â€œClean Plate Clubâ€?JAMA Pediatrics,
,,,,
2013,2018,"['Aner Tal', 'Brian Wansink']","Fattening Fasting: Hungry Grocery Shoppers Buy More Calories, Not More Food",JAMA Internal Medicine
,,,,
2012,2018,"['Brian Wansink', 'Aner Tal', 'Mitsuru Shimizu']","First Foods Most: After 18-Hour Fast, People Drawn to Starches First and Vegetables Last",JAMA Internal Medicine
,,,,
2013,2018,"['Andrew S Hanks', 'David R Just', 'Brian Wansink']",Preordering School Lunch Encourages Better Food Choices by Children,JAMA Pediatrics
,,,,
2005,2018,"['Brian Wansink', 'Matthew M Cheney']",Super Bowls: Serving Bowl Size and Food Consumption,JAMA: Journal of the American Medical Association
,,,,
2014,2018,"['Aner Tal', 'Scott Zuckerman', 'Brian Wansink']",Watch What You Eat: Action-Related Television Content Increases Food Intake,JAMA Internal Medicine
,,,,
2018,2018,"['David S DeGeest', 'Scott Seibert', ""Ernest O'Boyle""]",The relationship of general mental ability to entrepreneurial firm performance: A meta-analysis,Journal of Occupational and Organizational Psychology
,,,,
2015,2017,"['William Hart', 'Alexa M Tullet', 'Wyley B Shreves', 'Zachary Fetterman']","Fueling doubt and openness: Experiencing the unconscious, constructed nature of perception induces uncertainty and openness to change",Cognition
,,,,
2016,2017,"['Joerg Zumbach', 'Gerhard Schrangl', 'Chad Mortensen', 'Stephanie Moser']",Evaluation of Intercultural Instructional Multimedia Material on Implicit Xenophobic Cognition: Short Time Effects on Implicit Information Processing,Journal of Educational Technology & Society
,,,,
2012,2017,['William Hart'],Unlocking past emotion: verb use affects mood and happiness,Psychological Science
,,,,
2012,2017,"['Jodi L Whitaker', 'Brad J Bushman']","Boom, Headshot!: Effect of Video Game Play and Controller Type on Firing Aim and Accuracy",Communication Research
,,,,
2013,2016,"['Stewart A Shankman', 'Andrea C Katz', 'Alessandra M Passarotti', 'Mani N Pavuluri']",Deficits in emotion recognition in pediatric bipolar disorder: The mediating effects of irritability,Journal of Affective Disorders
,,,,
