"Source" "Statistic" "df1" "df2" "Test.Comparison" "Value" "Reported.Comparison" "Reported.P.Value" "Computed" "Raw" "Error" "DecisionError" "OneTail" "OneTailedInTxt" "APAfactor"
"1" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "F" 5 16 "=" 41.25 "<" 0.001 1.38144763197136e-08 "F(5, 16) = 41.25, p < .001" FALSE FALSE FALSE FALSE 0.65
"2" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" -0.45 "=" 0.6 0.657321313781119 "t(21) = -0.45, p = .6" TRUE FALSE FALSE FALSE 0.65
"3" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" 0.39 "=" 0.69 0.700464055016477 "t(21) = 0.39, p = .69" TRUE FALSE FALSE FALSE 0.65
"4" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" 1.2 "=" 0.25 0.243502632946108 "t(21) = 1.2, p = .25" FALSE FALSE FALSE FALSE 0.65
"5" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" -7.58 "<" 0.001 1.93349617041739e-07 "t(21) = -7.58, p < .001" FALSE FALSE FALSE FALSE 0.65
"6" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" -2.42 "<" 0.05 0.0246737607796553 "t(21) = -2.42, p < .05" FALSE FALSE FALSE FALSE 0.65
"7" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" 0.539 "=" 0.6 0.595555494307947 "t(21) = 0.539, p = .60" FALSE FALSE FALSE FALSE 0.65
"8" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" -1.15 "=" 0.26 0.263072196123304 "t(21) = -1.15, p = .26" FALSE FALSE FALSE FALSE 0.65
"9" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" -0.367 "=" 0.72 0.717291245568829 "t(21) = -0.367, p = .72" FALSE FALSE FALSE FALSE 0.65
"10" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" 2.66 "<" 0.05 0.0146503979008694 "t(21) = 2.66, p < .05" FALSE FALSE FALSE FALSE 0.65
"11" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "F" 1 21 "=" 20.75 "<" 0.001 0.000172346399932452 "F(1, 21) = 20.75, p < .001" FALSE FALSE FALSE FALSE 0.65
"12" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "F" 3 19 "=" 13.89 "<" 0.001 4.95869584463132e-05 "F(3, 19) = 13.89, p < .001" FALSE FALSE FALSE FALSE 0.65
"13" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" 0.19 "=" 0.86 0.851133732770949 "t(21) = 0.19, p = .86" FALSE FALSE FALSE FALSE 0.65
"14" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" 0.42 "=" 0.68 0.678751515106101 "t(21) = 0.42, p = .68" FALSE FALSE FALSE FALSE 0.65
"15" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" 0.34 "=" 0.74 0.737233796019778 "t(21) = 0.34, p = .74" FALSE FALSE FALSE FALSE 0.65
"16" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" 0.11 "=" 0.91 0.913453816156716 "t(21) = 0.11, p = .91" FALSE FALSE FALSE FALSE 0.65
"17" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" -8.75 "<" 0.001 1.90143508750025e-08 "t(21) = -8.75, p < .001" FALSE FALSE FALSE FALSE 0.65
"18" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" -3.8 "<" 0.001 0.00104698469194684 "t(21) = -3.80, p < .001" TRUE FALSE FALSE FALSE 0.65
"19" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" -1.84 "=" 0.08 0.0799468514735288 "t(21) = -1.84, p = .08" FALSE FALSE FALSE FALSE 0.65
"20" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" -0.88 "=" 0.39 0.388819070443768 "t(21) = -0.88, p = .39" FALSE FALSE FALSE FALSE 0.65
"21" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" 0.13 "=" 0.9 0.897803623730136 "t(21) = 0.13, p = .90" FALSE FALSE FALSE FALSE 0.65
"22" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "F" 1 21 "=" 0.015 "=" 0.9 0.903687764518168 "F(1, 21) = 0.015, p = .90" FALSE FALSE FALSE FALSE 0.65
"23" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "F" 3 63 "=" 1.17 "=" 0.33 0.32829443897083 "F(3, 63) = 1.17, p = .33" FALSE FALSE FALSE FALSE 0.65
"24" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" -3.72 "<" 0.001 0.00126647153203322 "t(21) = -3.72, p < .001" TRUE FALSE FALSE FALSE 0.65
"25" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" -1.97 "=" 0.062 0.0621681480443646 "t(21) = -1.97, p = .062" FALSE FALSE FALSE FALSE 0.65
"26" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" 1.16 "=" 0.26 0.259067700021068 "t(21) = 1.16, p = .26" FALSE FALSE FALSE FALSE 0.65
"27" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" 4.63 "<" 0.001 0.000144203414003094 "t(21) = 4.63, p < .001" FALSE FALSE FALSE FALSE 0.65
"28" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" 2.01 "<" 0.05 0.057451796319339 "t(21) = 2.01, p < .05" TRUE TRUE TRUE FALSE 0.65
"29" "AndersonAwh_2012_ThePlateauInMnemonicResolution" "t" NA 21 "=" 0.17 "=" 0.87 0.866637228160045 "t(21) = 0.17, p = .87" FALSE FALSE FALSE FALSE 0.65
